id,name,full_name,owner_login,description,url,language,topics,stargazers_count,watchers_count,forks_count,open_issues_count,created_at,updated_at
790866018,70kseguidores,mabelolivera10/70kseguidores,mabelolivera10,,https://github.com/mabelolivera10/70kseguidores,CSS,,2,2,0,0,2024-04-23T17:09:52Z,2024-05-15T04:11:49Z
784326698,abecedariodinamico,mabelolivera10/abecedariodinamico,mabelolivera10,,https://github.com/mabelolivera10/abecedariodinamico,JavaScript,,2,2,0,0,2024-04-09T16:21:59Z,2024-05-15T04:11:55Z
725314123,ActivityRegister.XML,mabelolivera10/ActivityRegister.XML,mabelolivera10,codigo de diseño del layout android studio,https://github.com/mabelolivera10/ActivityRegister.XML,,,2,2,0,0,2023-11-29T22:10:08Z,2024-06-18T04:51:33Z
911810452,arbolnavidad2025,mabelolivera10/arbolnavidad2025,mabelolivera10,,https://github.com/mabelolivera10/arbolnavidad2025,HTML,,1,1,0,0,2025-01-03T22:57:56Z,2025-02-13T15:03:54Z
755726035,arcoiris,mabelolivera10/arcoiris,mabelolivera10,,https://github.com/mabelolivera10/arcoiris,HTML,,5,5,0,0,2024-02-10T22:30:02Z,2024-05-15T04:12:26Z
763098910,birdslove,mabelolivera10/birdslove,mabelolivera10,,https://github.com/mabelolivera10/birdslove,CSS,,5,5,0,0,2024-02-25T15:00:05Z,2024-05-15T04:12:18Z
763097303,botonencenderapagar,mabelolivera10/botonencenderapagar,mabelolivera10,,https://github.com/mabelolivera10/botonencenderapagar,CSS,,2,2,0,0,2024-02-25T14:55:34Z,2024-05-15T04:12:20Z
752278327,botonenviar,mabelolivera10/botonenviar,mabelolivera10,,https://github.com/mabelolivera10/botonenviar,JavaScript,,4,4,0,0,2024-02-03T15:05:41Z,2024-05-15T04:12:33Z
754685871,buttoncheckosito,mabelolivera10/buttoncheckosito,mabelolivera10,,https://github.com/mabelolivera10/buttoncheckosito,JavaScript,,3,3,0,0,2024-02-08T15:18:41Z,2024-05-15T04:13:00Z
911810297,buttonemogi,mabelolivera10/buttonemogi,mabelolivera10,,https://github.com/mabelolivera10/buttonemogi,CSS,,2,2,0,0,2025-01-03T22:57:07Z,2025-03-04T16:54:35Z
777336719,carousel3d,mabelolivera10/carousel3d,mabelolivera10,,https://github.com/mabelolivera10/carousel3d,JavaScript,,9,9,0,0,2024-03-25T16:56:34Z,2024-06-29T21:59:07Z
737103525,cartaestilos,mabelolivera10/cartaestilos,mabelolivera10,,https://github.com/mabelolivera10/cartaestilos,HTML,,4,4,0,0,2023-12-29T20:38:04Z,2024-05-15T04:12:47Z
800545065,cartaparamamadiadelamadre,mabelolivera10/cartaparamamadiadelamadre,mabelolivera10,,https://github.com/mabelolivera10/cartaparamamadiadelamadre,CSS,,5,5,0,0,2024-05-14T14:37:24Z,2025-06-15T05:25:57Z
755724483,cartaprogramadores,mabelolivera10/cartaprogramadores,mabelolivera10,,https://github.com/mabelolivera10/cartaprogramadores,CSS,,21,21,12,0,2024-02-10T22:21:49Z,2026-01-30T19:05:55Z
780681394,catslove,mabelolivera10/catslove,mabelolivera10,,https://github.com/mabelolivera10/catslove,HTML,,5,5,0,0,2024-04-02T00:43:30Z,2024-08-09T17:25:41Z
748294518,corasoncitosanimadosflotantes,mabelolivera10/corasoncitosanimadosflotantes,mabelolivera10,,https://github.com/mabelolivera10/corasoncitosanimadosflotantes,CSS,,6,6,2,0,2024-01-25T17:16:57Z,2024-05-15T04:12:38Z
780680388,corazonanimado,mabelolivera10/corazonanimado,mabelolivera10,,https://github.com/mabelolivera10/corazonanimado,CSS,,3,3,0,0,2024-04-02T00:40:03Z,2024-05-15T04:12:02Z
767140641,corazonconbolitas,mabelolivera10/corazonconbolitas,mabelolivera10,,https://github.com/mabelolivera10/corazonconbolitas,CSS,,21,21,2,0,2024-03-04T19:20:46Z,2026-03-02T22:14:57Z
790863470,corazonlatente,mabelolivera10/corazonlatente,mabelolivera10,,https://github.com/mabelolivera10/corazonlatente,HTML,,3,3,0,0,2024-04-23T17:04:38Z,2025-04-02T23:50:25Z
748861653,crudusuariosxml,mabelolivera10/crudusuariosxml,mabelolivera10,,https://github.com/mabelolivera10/crudusuariosxml,,,3,3,0,0,2024-01-26T22:35:23Z,2024-05-15T04:12:37Z
784325842,cuerpospinslove,mabelolivera10/cuerpospinslove,mabelolivera10,,https://github.com/mabelolivera10/cuerpospinslove,CSS,,3,3,0,0,2024-04-09T16:20:03Z,2024-05-15T04:11:56Z
780681085,cumpleanosdedicar,mabelolivera10/cumpleanosdedicar,mabelolivera10,,https://github.com/mabelolivera10/cumpleanosdedicar,JavaScript,,9,9,1,0,2024-04-02T00:42:18Z,2025-03-28T14:57:10Z
768715910,diadelamujer,mabelolivera10/diadelamujer,mabelolivera10,,https://github.com/mabelolivera10/diadelamujer,JavaScript,,14,14,3,0,2024-03-07T15:49:04Z,2025-06-01T18:00:23Z
780680766,dinosaurioslove,mabelolivera10/dinosaurioslove,mabelolivera10,,https://github.com/mabelolivera10/dinosaurioslove,CSS,,2,2,1,0,2024-04-02T00:41:14Z,2024-05-15T04:12:01Z
800542881,emoticonlove,mabelolivera10/emoticonlove,mabelolivera10,,https://github.com/mabelolivera10/emoticonlove,JavaScript,,2,2,0,0,2024-05-14T14:32:44Z,2024-05-15T04:11:46Z
784327175,erescomoelcafe,mabelolivera10/erescomoelcafe,mabelolivera10,,https://github.com/mabelolivera10/erescomoelcafe,CSS,,5,5,0,0,2024-04-09T16:23:06Z,2024-09-09T12:28:40Z
743162018,error404,mabelolivera10/error404,mabelolivera10,,https://github.com/mabelolivera10/error404,CSS,,3,3,0,0,2024-01-14T14:21:29Z,2024-05-15T04:12:45Z
877613608,espiralcorazones,mabelolivera10/espiralcorazones,mabelolivera10,,https://github.com/mabelolivera10/espiralcorazones,HTML,,1,1,1,0,2024-10-23T23:55:10Z,2025-02-06T05:19:56Z
800544599,estacionesdiadelamadre,mabelolivera10/estacionesdiadelamadre,mabelolivera10,,https://github.com/mabelolivera10/estacionesdiadelamadre,HTML,,2,2,0,0,2024-05-14T14:36:24Z,2024-05-15T04:11:26Z
877612964,expander-notidicaciones,mabelolivera10/expander-notidicaciones,mabelolivera10,,https://github.com/mabelolivera10/expander-notidicaciones,CSS,,2,2,0,0,2024-10-23T23:52:36Z,2025-01-15T17:41:58Z
753681503,fantasmaslove,mabelolivera10/fantasmaslove,mabelolivera10,,https://github.com/mabelolivera10/fantasmaslove,CSS,,8,8,0,0,2024-02-06T15:45:13Z,2024-08-01T10:39:03Z
735318451,felizcumplecajita,mabelolivera10/felizcumplecajita,mabelolivera10,,https://github.com/mabelolivera10/felizcumplecajita,JavaScript,,4,4,0,0,2023-12-24T13:27:48Z,2024-05-15T04:12:48Z
731226799,feliznavidad,mabelolivera10/feliznavidad,mabelolivera10,,https://github.com/mabelolivera10/feliznavidad,HTML,,11,11,1,0,2023-12-13T15:59:27Z,2024-10-20T14:41:43Z
